model,init,seed,n,eps,coarse_grid,k_fine,steps,energy_rel_drift,virial_0,virial_f,coarse_g4_0,coarse_g8_0,coarse_g16_0,fine_knn_all_0,fine_pk_0,fine_close_0,fine_vel_disp_0,fine_fof_0,d_coarse_g8_early,d_coarse_g8_mid,d_coarse_g8_late,d_coarse_g4_early,d_coarse_g4_late,d_coarse_g16_early,d_coarse_g16_late,d_hmr_early,d_hmr_late,status,message
direct_isolated,bimodal3d,2000,256,0.02,8,16,600,0.00151422797167458,2.629081979277472,6.820200484059724,48.4990234375,6.6132659912109375,0.4605100154876709,6267.1292952991,535297720.5890887,0.04375836419657029,2.12631600876034,124,-5.890522003173828,-6.1838226318359375,-6.3400726318359375,-29.040283203125,-44.6083984375,-0.40481406450271606,-0.4403111934661865,0.20606921274025236,1.3566668867219152,ok,
direct_isolated,bimodal3d,2001,256,0.02,8,16,600,0.000588951497718691,2.8813779912064246,10.448759810240478,47.009521484375,6.445217132568359,0.3895553946495056,4329.568985176603,360358690.0630001,0.03266932270916335,2.0342538698355304,139,-5.826625823974609,-6.149261474609375,-6.209438323974609,-33.294677734375,-43.825927734375,-0.33441871404647827,-0.37311500310897827,0.2688805954105028,2.2344660984437477,ok,
direct_isolated,bimodal3d,2002,256,0.02,8,16,600,0.001180060252517989,3.1600971977922905,14.401778308065934,47.65234375,6.01165771484375,0.3687734603881836,5030.195393555298,425285177.172945,0.03658382343641308,2.2077756098942984,147,-5.465457916259766,-5.65966796875,-5.927433013916016,-36.086181640625,-46.433837890625,-0.31620222330093384,-0.36077409982681274,0.2755793754138953,2.753075689585142,ok,
direct_isolated,bimodal3d,2003,256,0.02,8,16,600,0.0006879572288335411,3.2363796274392067,16.477072567428767,43.515625,5.300537109375,0.3391075134277344,3743.683912079588,345685273.05333626,0.02961342562361238,2.1128735512716608,134,-4.665378570556641,-5.1140289306640625,-5.279514312744141,-32.162353515625,-43.342041015625,-0.2860007882118225,-0.3364291787147522,0.3198083575431918,2.823097736884827,ok,
direct_isolated,bimodal3d,2004,256,0.02,8,16,600,0.0012956234394537753,2.6964565906687787,7.956055006918088,47.71484375,6.39056396484375,0.4722890853881836,7573.891573810708,718334739.7772815,0.05030670966925947,2.158190716685068,132,-5.612216949462891,-5.752628326416016,-5.99310302734375,-32.228759765625,-41.74609375,-0.41200119256973267,-0.4463033676147461,0.22451006217484448,2.2051406573820085,ok,
direct_isolated,bimodal3d,2005,256,0.02,8,16,600,0.0005284868296257156,3.1093334410552744,13.854440206863957,50.452880859375,6.164058685302734,0.3635558485984802,4680.013588433919,428046662.9488158,0.033132623127991354,2.176276942565377,138,-5.458003997802734,-5.938472747802734,-6.004058837890625,-35.202880859375,-48.791015625,-0.3085173964500427,-0.349794864654541,0.28285173165023214,2.6494587573099864,ok,
direct_isolated,bimodal3d,2006,256,0.02,8,16,600,0.000598930743043853,3.11204169610003,15.265800821305385,48.4677734375,5.6796722412109375,0.3364865779876709,4222.901825147674,408242937.29824114,0.03046901745977405,2.149291865682702,168,-5.098316192626953,-5.503864288330078,-5.587635040283203,-37.776611328125,-47.749267578125,-0.28245049715042114,-0.32848721742630005,0.30790622869263395,2.5075975413779705,ok,
direct_isolated,bimodal3d,2007,256,0.02,8,16,600,0.0022675058054950595,2.525286178990863,5.4594489190728055,48.734130859375,6.496089935302734,0.3762511610984802,7931.927226155547,702305844.1892469,0.046472132159950594,2.0641459339076054,139,-5.7786865234375,-5.9881591796875,-5.722652435302734,-34.1171875,-30.952880859375,-0.32143211364746094,-0.3396911025047302,0.24489245131769033,1.8319980424112314,ok,
direct_isolated,bimodal3d,2008,256,0.02,8,16,600,0.0008961542805439324,3.4919415102664915,19.3564340732314,46.0849609375,5.4295501708984375,0.3532083034515381,5349.273766014853,533849807.8548697,0.03193574297188755,2.2801721770504577,131,-4.865070343017578,-5.215290069580078,-5.287738800048828,-34.505126953125,-43.118408203125,-0.30267077684402466,-0.34278327226638794,0.3512036345803887,3.148293778006147,ok,
direct_isolated,bimodal3d,2009,256,0.02,8,16,600,0.001366184613676877,2.8451855959010826,9.130290338907633,47.6162109375,6.2811126708984375,0.4664895534515381,5852.58174263034,448547875.5025021,0.04279518072289157,2.1699396326750855,105,-5.5292205810546875,-5.909809112548828,-5.915283203125,-34.4326171875,-40.734375,-0.4057910442352295,-0.4424018859863281,0.22499846457046702,2.362890466299058,ok,
