model,n,r2,adj_r2,intercept,coef_json,model_id
density,1000,0.0013841547896248363,0.00038353771025567696,0.3438871310400073,"{""density"": -0.005958678107096861}",M1
density+iso_alone_50,1000,0.16371919055257156,0.16204159615047042,0.3438871310400073,"{""density"": -0.044082374829507553, ""iso_alone_50"": 0.07495049477157743}",M2
density+iso_embedded_50,1000,0.4004274308836264,0.3992246774851983,0.3438871310400073,"{""density"": -0.08643592667009395, ""iso_embedded_50"": 0.1292776209258033}",M3
density+iso_embedded_50+iso_alone_50,1000,0.4183935077365738,0.41664168095264786,0.3438871310400073,"{""density"": -0.09206306818602636, ""iso_embedded_50"": 0.11552703564715236, ""iso_alone_50"": 0.027891553363839923}",M4
density+iso_embedded_50+fine_net_50_250,1000,0.40398780676837465,0.4021925893188818,0.3438871310400073,"{""density"": -0.08490154922299727, ""iso_embedded_50"": 0.1386306000791319, ""fine_net_50_250"": 0.014107779724281235}",M5
density+iso_alone_50+fine_net_50_250,1000,0.19945005087840106,0.19703875585092645,0.3438871310400073,"{""density"": -0.05636435541635799, ""iso_alone_50"": 0.059268623748916886, ""fine_net_50_250"": -0.038849202741588845}",M6
density+iso_embedded_50+iso_alone_50+fine_net_50_250,1000,0.4259118756555481,0.4236039836983845,0.3438871310400073,"{""density"": -0.09049631011125983, ""iso_embedded_50"": 0.12764945783830592, ""iso_alone_50"": 0.03138243968022352, ""fine_net_50_250"": 0.02088106186886141}",M7
