cond_id,grid,rho_lo,rho_hi,beta_emp,beta_death,beta_local,beta_residual,chi,r2,slope_ci95_lo,slope_ci95_hi,mean_embedded_survive_prob
G64_low,64,0.1,0.2,-1.4616940102559002,-1.0,0.3465423137110736,-0.8082363239669738,-1.2368609948672513,0.4134594990107282,-1.6332548722552702,-1.2901331482565301,0.6586593156354096
G64_mid,64,0.25,0.35,-1.6127483316112803,-1.0,0.48367868114871326,-1.0964270127599935,-2.123536202609894,0.3380506815607425,-1.8351393786317338,-1.3903572845908267,0.5928406929113484
G64_high,64,0.35,0.5,-1.3834649230177063,-1.0,0.49958676980183064,-0.8830516928195369,-1.7646449764524377,0.2957192198290248,-1.59385755724815,-1.1730722887872627,0.5873254589058545
G128_low,128,0.1,0.2,-1.7671909540821351,-1.0,0.35665923494885104,-1.1238501890309862,-1.746897212306505,0.6838840499357457,-1.9041601199322453,-1.630221788232025,0.6544774041344116
G128_mid,128,0.25,0.35,-1.403893174665825,-1.0,0.5105762508664106,-0.9144694255322355,-1.868461485882306,0.3019896546295214,-1.6472123430838903,-1.1605740062477596,0.5872717016143076
G128_high,128,0.35,0.5,-1.497980044120141,-1.0,0.4914616651670531,-0.9894417092871941,-1.945658058624474,0.3281589424579668,-1.7423256539337861,-1.2536344343064958,0.5921702403338581
