label,step,net_F_cum,net_C_cum,G,world_id
G>0,0,0,0,0.6212830396475771,687
G>0,1,-136,0,0.6212830396475771,687
G>0,2,-115,0,0.6212830396475771,687
G>0,3,-155,0,0.6212830396475771,687
G>0,4,-172,0,0.6212830396475771,687
G>0,5,-195,0,0.6212830396475771,687
G>0,6,-196,0,0.6212830396475771,687
G>0,7,-176,0,0.6212830396475771,687
G>0,8,-182,0,0.6212830396475771,687
G>0,9,-197,0,0.6212830396475771,687
G>0,10,-208,-1,0.6212830396475771,687
G>0,11,-185,-2,0.6212830396475771,687
G>0,12,-213,0,0.6212830396475771,687
G>0,13,-215,-2,0.6212830396475771,687
G>0,14,-245,-1,0.6212830396475771,687
G>0,15,-235,-1,0.6212830396475771,687
G>0,16,-239,-1,0.6212830396475771,687
G>0,17,-272,-2,0.6212830396475771,687
G>0,18,-265,-2,0.6212830396475771,687
G>0,19,-253,-3,0.6212830396475771,687
G>0,20,-262,-2,0.6212830396475771,687
G>0,21,-286,-3,0.6212830396475771,687
G>0,22,-274,-4,0.6212830396475771,687
G>0,23,-291,-4,0.6212830396475771,687
G>0,24,-263,-4,0.6212830396475771,687
G>0,25,-287,-3,0.6212830396475771,687
G>0,26,-263,-3,0.6212830396475771,687
G>0,27,-285,-4,0.6212830396475771,687
G>0,28,-314,-6,0.6212830396475771,687
G>0,29,-307,-7,0.6212830396475771,687
G>0,30,-297,-6,0.6212830396475771,687
G>0,31,-296,-8,0.6212830396475771,687
G>0,32,-329,-8,0.6212830396475771,687
G>0,33,-292,-8,0.6212830396475771,687
G>0,34,-322,-10,0.6212830396475771,687
G>0,35,-331,-9,0.6212830396475771,687
G>0,36,-314,-8,0.6212830396475771,687
G>0,37,-326,-8,0.6212830396475771,687
G>0,38,-302,-8,0.6212830396475771,687
G>0,39,-314,-9,0.6212830396475771,687
G>0,40,-313,-9,0.6212830396475771,687
G>0,41,-320,-9,0.6212830396475771,687
G>0,42,-331,-8,0.6212830396475771,687
G>0,43,-316,-10,0.6212830396475771,687
G>0,44,-329,-11,0.6212830396475771,687
G>0,45,-336,-11,0.6212830396475771,687
G>0,46,-332,-11,0.6212830396475771,687
G>0,47,-325,-12,0.6212830396475771,687
G>0,48,-328,-13,0.6212830396475771,687
G>0,49,-337,-14,0.6212830396475771,687
G>0,50,-342,-16,0.6212830396475771,687
G>0,51,-331,-16,0.6212830396475771,687
G>0,52,-336,-17,0.6212830396475771,687
G>0,53,-325,-15,0.6212830396475771,687
G>0,54,-338,-16,0.6212830396475771,687
G>0,55,-318,-15,0.6212830396475771,687
G>0,56,-327,-16,0.6212830396475771,687
G>0,57,-323,-18,0.6212830396475771,687
G>0,58,-319,-18,0.6212830396475771,687
G>0,59,-334,-15,0.6212830396475771,687
G>0,60,-304,-15,0.6212830396475771,687
G>0,61,-313,-16,0.6212830396475771,687
G>0,62,-350,-18,0.6212830396475771,687
G>0,63,-341,-19,0.6212830396475771,687
G>0,64,-359,-19,0.6212830396475771,687
G>0,65,-343,-15,0.6212830396475771,687
G>0,66,-353,-17,0.6212830396475771,687
G>0,67,-343,-17,0.6212830396475771,687
G>0,68,-324,-17,0.6212830396475771,687
G>0,69,-335,-16,0.6212830396475771,687
G>0,70,-343,-17,0.6212830396475771,687
G>0,71,-332,-14,0.6212830396475771,687
G>0,72,-350,-13,0.6212830396475771,687
G>0,73,-346,-15,0.6212830396475771,687
G>0,74,-340,-16,0.6212830396475771,687
G>0,75,-345,-17,0.6212830396475771,687
G>0,76,-348,-16,0.6212830396475771,687
G>0,77,-354,-20,0.6212830396475771,687
G>0,78,-355,-19,0.6212830396475771,687
G>0,79,-361,-20,0.6212830396475771,687
G>0,80,-346,-16,0.6212830396475771,687
G>0,81,-350,-19,0.6212830396475771,687
G>0,82,-352,-22,0.6212830396475771,687
G>0,83,-352,-22,0.6212830396475771,687
G>0,84,-346,-21,0.6212830396475771,687
G>0,85,-367,-22,0.6212830396475771,687
G>0,86,-352,-21,0.6212830396475771,687
G>0,87,-356,-23,0.6212830396475771,687
G>0,88,-375,-23,0.6212830396475771,687
G>0,89,-353,-24,0.6212830396475771,687
G>0,90,-360,-23,0.6212830396475771,687
G>0,91,-366,-24,0.6212830396475771,687
G>0,92,-370,-23,0.6212830396475771,687
G>0,93,-348,-24,0.6212830396475771,687
G>0,94,-365,-24,0.6212830396475771,687
G>0,95,-352,-22,0.6212830396475771,687
G>0,96,-373,-23,0.6212830396475771,687
G>0,97,-366,-24,0.6212830396475771,687
G>0,98,-353,-24,0.6212830396475771,687
G>0,99,-369,-24,0.6212830396475771,687
G>0,100,-367,-22,0.6212830396475771,687
G>0,101,-368,-22,0.6212830396475771,687
G>0,102,-379,-23,0.6212830396475771,687
G>0,103,-366,-23,0.6212830396475771,687
