iso_embedded_50,iso_alone_50,G_0_250,density
64,3,0.4393221574344023,0.4463050469068928
38,4,0.26875000000000004,0.5255351947388471
62,6,0.44756944444444446,0.16453401769190878
38,11,0.28216019417475724,0.4147917307616867
42,5,0.3868925644028103,0.14295253479316938
35,7,0.3628472222222222,0.4879299351485022
46,3,0.41080339321357284,0.18353306771881744
61,9,0.4440011820330969,0.4206171058530164
34,2,0.21156163911845727,0.11279225136731268
59,6,0.31164148351648346,0.4634701545347469
34,4,0.3130195012787724,0.12642452075301677
62,14,0.5726750927643784,0.29959833595839414
48,8,0.46592003853564545,0.27765224142262246
59,6,0.5613425925925926,0.302538511080367
40,6,0.3980816160520607,0.36608457291933727
62,13,0.3552837743732591,0.4325725164004891
44,7,0.24546755725190839,0.49998105130685133
94,8,0.17812499999999998,0.5143850664315897
59,11,0.2453409090909091,0.48919824990502964
55,4,0.324260752688172,0.44645389592787854
47,3,0.43184691011235954,0.156309940374765
56,3,0.5207644139886578,0.327834028536486
0,0,0.008752431230897417,0.030351882302684558
25,1,0.2876461988304093,0.11321675855516636
42,10,0.08742331288343558,0.5498333832618486
56,6,0.3852998878923767,0.16985586981408965
51,4,0.5501399253731343,0.271073642541832
63,17,0.3995535714285714,0.4621788651080157
58,7,0.40699940047961636,0.4209960884976633
37,3,0.450608846918489,0.20805165144672896
39,5,0.3904768957345972,0.16533809281891243
52,1,0.520770202020202,0.18105981540065913
77,13,0.5673262548262549,0.2354480804819472
3,0,0.06876586294416243,0.058874542840179
65,5,0.45548036093418254,0.39756600533264913
29,3,0.27729430379746833,0.10282976084306758
69,2,-0.1730978260869565,0.575795230812793
47,8,0.10953362944162437,0.5409109222070168
35,5,0.39872685185185186,0.25216380508977454
40,5,0.4230395962732919,0.1976146690968273
34,3,0.2905433006535948,0.09429146326764482
59,6,0.4000088526912181,0.4403498061772316
29,0,0.31411366498740556,0.12585834528186113
51,2,0.3007440476190476,0.1401470791204865
50,4,0.4546280760626398,0.17331849358103868
42,14,0.39338592233009706,0.22260647272091175
88,9,0.5556076789838337,0.1668251271766527
41,2,0.42617827868852454,0.4769605815402892
46,2,0.3080357142857143,0.5187480405332838
4,0,0.179152397260274,0.06608537814005891
36,5,0.4533514492753623,0.14256235761195782
42,9,0.3822916666666667,0.16608441998755252
4,0,0.18051861702127658,0.08225923884386
60,9,0.3569625890736342,0.14566009782859532
64,4,0.480152027027027,0.14833140827851968
51,5,0.38247478386167144,0.4354696665371577
4,1,0.13518518518518519,0.07439368054575757
36,6,0.3706367924528302,0.3309173571858733
23,1,0.3102453102453103,0.10181657083333373
11,0,0.242587457337884,0.07204295395656408
58,6,0.5038178733031674,0.3993704005635628
45,6,0.43870192307692313,0.218012024164576
66,9,0.3650412087912088,0.4726751357231699
60,15,0.3704753861003861,0.23917922803487804
73,10,0.4242850257069408,0.4310103537415751
47,6,0.3426535087719298,0.48439326477747274
0,0,0.09399224806201545,0.06901977337233346
53,9,0.523536036036036,0.2694873113747972
42,2,0.34252982646420826,0.16109768179306014
63,5,0.39998772102161095,0.3090040923538568
0,0,0.03967428967428965,0.03356459777206888
60,1,0.5380518480492813,0.17369258123717865
56,8,0.34593658892128276,0.4717940913976701
67,12,0.34737404942965777,0.5028633350047853
50,0,0.4496943612774451,0.16977096438266046
55,6,0.09008487654320985,0.5715311455275621
42,4,0.5158643326039387,0.3848375499916719
64,12,0.38162878787878785,0.3851985786213613
50,14,0.3960616438356165,0.44884637457011795
0,0,0.010297482837528626,0.0369627635818159
4,0,0.08277130594727167,0.06826230038515076
57,7,0.29427083333333337,0.4168334069941423
16,0,0.18374999999999997,0.07903923986312045
40,7,0.33482680722891567,0.41042016765024136
2,0,0.07357738310982243,0.04856440843850056
32,5,0.5116494082840237,0.3048790200102683
52,8,0.395490506329114,0.40805202018464914
55,3,0.42692307692307696,0.26381371467980114
35,1,0.32078660949868076,0.11060451322649516
49,8,0.5417444029850746,0.18344745310289684
44,11,0.29159768211920534,0.4946671717457121
64,4,0.18678160919540232,0.5469793724483264
12,0,0.18961947949526814,0.08835055803383808
46,10,0.42863005050505054,0.36611285404615057
54,6,0.16397664835164838,0.5560868163140742
61,9,0.4778322179732314,0.31392582729134033
87,6,0.4203927865612648,0.35916752278798236
72,9,-0.11179435483870968,0.5535431742469124
71,12,0.31490384615384615,0.49726007919297305
44,3,0.3886829096045198,0.30360728108304935
42,3,0.40043123818525517,0.27354333786390983
55,10,0.508545918367347,0.18702188866220096
17,11,0.2501990445859873,0.09661817365108903
74,9,0.46389751552795033,0.3071437981611326
44,9,0.4455948795180723,0.19906505347652306
62,11,0.4536247334754797,0.35700521080845204
76,6,0.35231854838709675,0.14808890846851655
37,10,0.3853346456692913,0.23093974285942148
25,8,0.4654425182481752,0.14050077966936617
56,11,0.42887707468879666,0.18041868683576534
37,4,0.47916666666666663,0.38746519183595385
2,0,0.125,0.047878376936266114
75,10,0.31636300738007384,0.24310954685576106
57,5,0.03513513513513511,0.5497210641297949
71,8,0.5208333333333334,0.2680693558667209
72,4,0.4874929138321995,0.40700171737899776
39,6,0.27510718997361483,0.11806147834584496
25,1,0.28125,0.09521143321743268
75,12,0.519133877159309,0.2370548028965987
52,10,0.4113256369426752,0.3493303581322588
16,0,0.3143631436314363,0.08222972069991902
30,4,0.30979046242774566,0.10115917899388571
70,6,0.38894230769230764,0.28895650574300596
30,4,0.38954293628808867,0.11388159941526863
46,5,0.4103851606805293,0.32673174484184325
74,10,0.5146844660194175,0.2227646675356248
46,8,0.46706263498920086,0.16594305858044517
55,9,0.45301136363636363,0.28139487670351515
15,0,0.12878787878787878,0.07959114027397951
66,10,0.5016059957173448,0.38966470604230025
46,10,0.544875,0.18812749149181818
0,0,0.01156865445530919,0.03452914733207544
51,1,0.43424010791366907,0.2914280604625023
56,10,0.3553557073954984,0.4760480116442307
58,7,0.3610969387755102,0.366271601537474
42,7,0.44160231660231664,0.2946442041795371
52,14,0.5173611111111112,0.395056428021646
54,5,0.22919568245125344,0.45572819739523107
49,4,0.49970238095238095,0.3093668051627991
80,12,0.5584006653992395,0.24006192330606876
51,9,0.16754201680672265,0.5121360240583606
53,0,0.41244405370843995,0.13017076279977807
0,0,0.01064631618616918,0.04632860502585335
0,0,0.06131827731092432,0.061744348932537794
80,10,0.4636994949494949,0.4256684867846591
55,10,0.24533371040723984,0.5274346687509796
53,10,0.44263934878587197,0.40063882705067017
48,6,0.5019712430426716,0.3248395628592389
2,2,0.054446151220344796,0.05256529043715585
72,20,0.3875591016548463,0.42917691493596105
43,5,0.10270700636942676,0.5707550761501798
20,3,0.14325889164598843,0.06443383438948318
72,10,0.46607905982905984,0.3698096957158034
45,9,0.5141743230174082,0.3112248191026878
0,0,0.009313725490196156,0.037715568901574605
53,7,0.4851473384030418,0.21578805968930334
31,2,0.2944128787878788,0.10575671092547557
56,11,0.14567550505050508,0.5266514194365254
59,8,0.06712278106508873,0.5746111306774746
48,9,0.47842573221757323,0.37428662185594586
29,5,0.22105211598746077,0.09876027488762261
56,9,0.33369006849315064,0.32454328546242883
44,8,0.4380376344086021,0.17463537922106304
62,7,0.281885162601626,0.511148637469019
12,0,0.18344465648854957,0.06483104906290804
0,0,0.0,0.0393113149453746
54,9,0.25550176056338025,0.4917589209220833
28,2,0.29616297468354436,0.12877253449625806
43,5,0.140625,0.5445224296654567
38,9,0.3587443946188341,0.4043899257227557
51,10,0.4451790796963947,0.34047443220333357
51,4,0.43600299401197606,0.205698845027249
62,7,0.505105198019802,0.2290188765938693
60,5,0.26982931726907633,0.5257994492800723
38,6,0.33219936708860764,0.12609357976747296
59,7,0.4241071428571429,0.23630436639276772
69,11,0.28547854785478544,0.4805242364752375
9,0,0.3769230769230769,0.12820577755736406
78,7,0.3716938405797101,0.46168792239386114
71,5,0.3837628865979381,0.19586018460119572
62,10,0.02728873239436619,0.5637087197067482
49,3,0.36788302277432716,0.21707823030271622
66,13,0.4480414171656687,0.25853086004235376
4,0,0.016514558887440245,0.036314341710385
2,0,0.03926940639269405,0.056386193111873775
70,14,0.38624379652605456,0.4395795396191879
14,1,0.18532675054414183,0.08928396000481542
47,9,0.4912735849056604,0.22097065323587553
64,9,0.41150805489260145,0.4019480978751396
65,7,0.4345660480349345,0.17396165672502573
75,15,0.4590309633027523,0.2996197001903282
63,7,0.307696554770318,0.49587259340542794
48,7,0.4017125292740047,0.4077501644510396
49,4,0.3796319169960475,0.21810056347172216
56,10,0.4944635826771654,0.3272486988039555
40,7,0.3889880952380952,0.1432085755001161
11,1,0.19202898550724634,0.08293186428468588
57,3,0.5035934291581109,0.2373225614631111
64,2,-0.16494205298013245,0.558438778749266
61,7,0.3295115187713311,0.5026673362306436
71,7,0.4421092300556586,0.23916634321366517
67,6,0.5041666666666667,0.331726803535577
64,5,0.5256656137184116,0.27719707885317435
57,11,0.16009852216748766,0.522614165089668
47,9,0.3700406309751434,0.31396957158614036
71,9,0.4560630341880342,0.4158550936597084
53,8,0.43916223404255317,0.36364098622556146
60,5,0.5662627551020408,0.29764631422632115
15,1,0.25583791208791207,0.08443887085786822
57,9,0.2998188405797102,0.49900978775616917
60,9,0.37290846456692917,0.42777634753317745
73,7,0.4127062958435208,0.3993331957053436
0,0,0.03502109704641354,0.04367254748281272
24,0,0.23195341328413288,0.08734286089785312
61,14,0.5588090551181102,0.34099434826162917
5,0,0.06730386300278768,0.0704515676511381
19,4,0.3297213622291022,0.10627230033834896
59,11,0.421875,0.260933775995772
45,2,0.4594323394495413,0.3752665573732488
33,5,0.38520728643216084,0.1312063007913013
43,6,0.5096677559912854,0.3823543751153284
87,10,0.2637081784386617,0.5057496074596141
64,10,0.4222404970760234,0.2656651508555488
38,4,0.37569444444444444,0.13494430927496492
57,6,0.14440684713375795,0.5554320511060543
40,7,0.39408981876332627,0.37716472016427915
39,11,0.06392045454545453,0.561068784215124
64,16,0.29625,0.44329341401393724
0,0,0.03125,0.05559340873708656
54,9,0.34872572815533975,0.3249722159344413
61,11,0.48676049618320616,0.2317086114467186
44,11,0.2874607740585774,0.5074445575831777
60,6,0.49271285249457697,0.36441085318278854
58,5,0.29137323943661975,0.4996404504762853
0,0,0.06693620844564241,0.06043732907814544
59,5,0.24588815789473684,0.5304493423707791
75,10,0.4961642599277978,0.26771275065961836
35,5,0.29424931129476584,0.4669940383350135
57,10,0.0958946078431373,0.5370519196364404
67,5,0.25,0.45528862460164876
57,12,0.5728369980879541,0.24019352943196462
75,7,0.27261029411764703,0.45849490332055004
58,7,0.4147995283018868,0.30136697403244633
6,0,0.13930084745762716,0.0665753317416849
13,1,0.1960227272727273,0.07267606531705673
75,18,0.14684537914691942,0.527064878001383
59,2,0.43655660377358485,0.2600441678513614
45,8,0.5100196188340808,0.16313737596235484
49,5,0.3396282973621103,0.43683900187674857
70,11,0.4828986220472441,0.28639817858229444
0,0,0.011666666666666714,0.032656836317852156
49,6,0.48258426966292134,0.3955738459952447
31,8,0.30792593676814983,0.13898344501891244
26,3,0.41053650442477874,0.12156337682031959
70,12,0.4429440045248869,0.40616355451835107
56,11,0.23742219917012453,0.5225512176539572
87,8,0.4776785714285714,0.3310600462679043
67,9,0.41228281853281856,0.2286147810040076
62,11,0.43082061068702293,0.26539492643979656
58,5,0.45215379341864714,0.2630344878376443
48,9,0.48194364988558347,0.4021394640582836
81,6,0.07491554054054056,0.5677637729293981
2,0,0.0359201773835921,0.03557902658025872
23,2,0.3068307522123894,0.11101944796655697
9,0,0.23124999999999996,0.1005762381022373
52,9,0.4230567226890757,0.15977429144944869
71,6,0.517059034416826,0.3322487291508331
45,3,0.0437062937062937,0.5671525136570303
65,8,0.49581771948608133,0.3583041323009909
45,1,0.3734645953757225,0.27589447193644284
56,8,0.4319509345794392,0.41369844015827933
65,12,0.4462682038834952,0.22338485218694873
57,10,0.08000753012048195,0.5580158744728648
46,11,0.3492239467849224,0.39491216017166925
55,11,0.2970238095238096,0.41874182575314134
56,11,0.3535311671087533,0.44079399732180485
6,0,0.06679159416410119,0.062333687206201964
44,8,0.49657489561586643,0.18543836909326994
38,8,0.3935185185185185,0.15527103955977192
59,5,0.20206567796610164,0.5293676493457327
66,6,0.16209349593495936,0.5108410208161183
31,6,0.3723859315589354,0.5155144803485961
50,11,0.46168816725978645,0.27597962388194236
62,9,0.4874426605504587,0.28802930800215815
65,8,0.3460304054054054,0.45629128440753974
33,7,0.2144446594427245,0.10307183973599682
46,11,0.5403846153846154,0.2741016243080939
44,3,0.5072517942583732,0.40813222275012745
8,0,0.30840726658217155,0.08257117007823978
33,1,0.372005772005772,0.10128504124500057
52,3,0.39692864806866957,0.16704650005296837
69,8,0.5417520491803278,0.1827989693489165
3,0,0.044277360066833804,0.06468852550232944
51,12,0.4586538461538462,0.34853309021112033
72,13,0.332205118694362,0.45623894973665335
42,10,0.1807245575221239,0.5201073446721405
89,6,0.5177419354838709,0.39573527392003705
0,0,0.0381892297790174,0.044997915547772736
58,7,0.5223214285714286,0.3989837158174333
48,6,0.3978954081632653,0.3094890052490742
43,10,0.19110576923076927,0.518201883872712
32,7,0.5516151685393258,0.15902789233861905
57,3,0.39278017241379315,0.3904527121689531
5,0,0.03919491525423724,0.046118649797459166
66,4,0.41867732558139537,0.14943941745565778
75,4,0.41538461538461535,0.28399025126697613
45,7,0.32709364686468645,0.47452205214343013
64,10,0.36354166666666665,0.34343088618106377
71,8,0.5660125968992248,0.3267958617705282
41,8,0.3451336393088553,0.3588853962110785
79,13,0.34208250988142297,0.2995120390947283
49,7,0.3799867021276596,0.1251932820878438
60,3,0.35250327225130895,0.13644627432139175
63,7,0.4962912087912088,0.3869104984799945
59,9,0.16727941176470584,0.5333813814875925
4,0,0.10369318181818177,0.07874138214490184
61,4,0.30526901294498376,0.47970226755541057
48,9,0.3508152173913044,0.36742602763313204
55,12,0.3935977378190255,0.1498682465825532
72,10,0.38559144295302017,0.4048917971967599
53,9,0.4126506024096386,0.46967559302851963
63,5,0.48591897233201586,0.19524884628988176
67,5,0.3885161042944786,0.1837547754712642
43,7,0.3868055555555555,0.24483893568785162
58,8,0.4286317567567568,0.2918289788107282
40,6,0.464159604519774,0.27437155407806846
54,10,0.37226080246913584,0.13891434895660104
66,4,0.44143606870229013,0.29511296167924883
47,9,0.390875,0.22917353668555057
62,12,0.430642144638404,0.43020699002629825
57,8,0.5662627551020408,0.1979074864568676
52,0,0.48689277251184837,0.13986190483101163
37,5,0.4279891304347826,0.17879317606598127
35,7,0.4905357142857143,0.3034103687250482
49,7,0.2514150943396226,0.5057051451359252
53,6,0.03325320512820512,0.5385591910742136
83,7,0.518348623853211,0.4147690512169711
27,3,0.36601253298153036,0.13372652332636484
45,6,0.4502212389380531,0.37808568389072805
42,6,0.5073702830188679,0.15203230492761624
0,0,0.020197044334975378,0.03509134431711065
58,10,0.43198708576998046,0.2139301537589423
74,14,0.35302982233502533,0.44390803241110377
57,8,0.4401734790874525,0.3549620470114367
57,4,0.5219665271966527,0.35211541953944975
38,2,0.34540198237885467,0.1808947960120357
55,13,0.18899521531100483,0.5301302214931194
61,15,0.43279454022988506,0.1548700980815654
58,8,0.3357875799573561,0.3626351810432347
62,3,0.32336956521739135,0.46802603268565685
82,10,0.4098850844277674,0.3220618881121669
26,0,0.330812101910828,0.09200498034840897
47,8,-0.05526426174496643,0.568914072878488
61,11,0.31387711864406775,0.4846319138373328
47,6,0.20472383720930232,0.5215558905290559
63,7,0.4125878514056225,0.2873913928477677
66,13,0.20155622489959835,0.5093922196514886
51,8,0.5740266393442623,0.17078807996753917
0,0,0.0,0.03329040557897766
53,3,0.3830275229357798,0.4794050676456844
78,11,0.16060450819672129,0.5466790419911776
29,0,0.4757593457943925,0.1423963369843824
57,5,0.5005647590361446,0.42390321213350396
26,6,0.43300128534704374,0.1228550952393784
0,0,0.035343581658126344,0.03623959369982923
36,6,0.4445043103448276,0.1653609922033893
67,14,0.3233097484276729,0.5029782660318632
54,3,0.423859126984127,0.4330488968988952
47,5,0.32291666666666663,0.13740527788475443
58,9,-0.41091008771929827,0.556603119994631
51,6,0.32598325545171336,0.4695318456055775
65,11,0.416427752293578,0.40262768264892784
46,9,0.4924988140417458,0.27614482112921074
