world_id,world_seed,density,Nlive,Nocc8,A,Gfuture
0,2880948662283159285,0.2554602079472497,1658.3366336633662,197.45544554455446,31.23,0.1210782820590923
1,2775892453734229578,0.28520399154224957,1366.7623762376238,187.33663366336634,25.91,0.11572296865003201
2,618376021394830917,0.26126541504083806,1264.3069306930693,183.4257425742574,29.09,0.15773500793004414
3,394275227860785560,0.22216736132752882,1378.5049504950496,187.26732673267327,27.07,0.015061045170999297
4,4195175896102395489,0.2945404704776313,1453.1386138613861,190.8910891089109,29.15,0.05002626481499717
5,4523101828387747649,0.26625603478217147,1442.980198019802,191.83168316831683,34.65,0.17228407348501443
6,2228025024239030675,0.33032750833910307,1382.2079207920792,178.5148514851485,33.01,0.0004815015845779369
7,2728178377929367961,0.34522955123980864,1393.2772277227723,186.97029702970298,30.78,0.030032283223583547
8,3944273178297391044,0.3212438070321448,1454.3663366336634,187.54455445544554,29.78,0.016537358881744124
9,837963467558380258,0.3019302918636276,1265.2475247524753,176.94059405940595,28.57,-0.015466437017037524
10,1136181291501548457,0.26262462309008955,1297.6633663366338,180.5742574257426,34.1,0.03455243483532025
11,2910364486007450152,0.2540804378311405,1185.7821782178219,174.01980198019803,23.97,0.06601591038233623
12,1765447585082899228,0.25521581535730475,1466.5148514851485,191.54455445544554,27.71,-0.0006633499170812518
13,1287770101092676952,0.2470028529155154,1373.960396039604,185.04950495049505,27.71,0.01840959280127133
14,789376268341572229,0.2380837500734041,1301.5247524752476,175.55445544554456,26.37,0.04301075268817204
15,1383210743112688479,0.2611411556462478,1407.3465346534654,193.34653465346534,30.05,0.10390776028721346
16,1184011190601355105,0.2846428389992938,1382.079207920792,191.5148514851485,27.1,0.17990109009856164
17,2207508069998499024,0.32344204056813447,1285.0,192.11881188118812,29.84,0.16089754165979211
18,389456389338857816,0.3042019436032263,1434.9405940594058,192.97029702970298,31.36,0.02823074444086368
19,3422765971459018182,0.27040706486321725,1159.6633663366338,181.33663366336634,24.27,-0.12589828133869585
20,597745710212900802,0.20622375807302293,1173.8316831683169,173.45544554455446,25.39,0.06079535756955112
21,1442213044292572333,0.2666879142488058,1398.7425742574258,192.25742574257427,28.84,-0.01641975786175686
22,820104340524580282,0.3279139462600663,1434.8712871287128,185.35643564356437,28.66,-0.017458844554421427
23,593531949966898430,0.3265214417302686,1213.1782178217823,174.1980198019802,25.03,0.057766181053852284
24,3140851274092461777,0.26506481789612235,1429.4257425742574,191.31683168316832,28.06,0.15759389133423846
25,2711481752990419639,0.3453199082130431,1625.4455445544554,202.45544554455446,36.21,0.0743932411674347
26,2786861545866297716,0.3064562560279236,1627.6138613861385,200.03960396039605,34.11,0.06694691396597266
27,3078557306475617870,0.26893133204536707,1207.920792079208,178.1980198019802,26.64,0.08877524259113559
28,2571211936263490294,0.25428210681927976,1272.3564356435643,176.01980198019803,27.14,0.0997454628230863
29,1231791232545721893,0.2579627705737403,1391.029702970297,185.93069306930693,24.71,0.0916282135794331
30,2033623325920311002,0.25642235470280866,1403.6336633663366,190.1980198019802,28.86,0.08480910257988497
31,1182040044772113286,0.28902431193560896,1329.3465346534654,189.36633663366337,31.11,0.07468175070847016
32,3227634414485392183,0.2315671087854024,1333.4950495049504,178.31683168316832,27.46,0.027841397079874042
33,3009609402931407572,0.34822608050635767,1539.1683168316831,190.8118811881188,28.06,0.0047419685577580195
34,122677973054880952,0.22941905373923166,1380.2772277227723,187.85148514851485,27.25,-0.008524155582979115
35,956019069960804278,0.23770923150794596,1548.5940594059407,198.9108910891089,34.51,0.11657342657342658
36,3366083651439715142,0.21594407860129253,1413.6930693069307,192.76237623762376,31.03,-0.019089366515837106
37,674725456081963534,0.29524145898859133,1202.7425742574258,174.58415841584159,27.19,0.028245037546740293
38,4591987912039657505,0.332827168696738,1431.3663366336634,188.9009900990099,29.7,0.07453427065026362
39,3144744384521733864,0.20887450776280034,1475.1089108910892,186.0,35.56,0.0505050505050505
40,4484161839048439332,0.20325938349085076,1238.049504950495,172.13861386138615,31.68,0.09924623115577891
41,2028373083668993868,0.30749033666267633,1443.950495049505,189.1881188118812,29.54,0.06314784506273868
42,481389264517586385,0.28465766956047045,1533.2079207920792,193.40594059405942,30.03,0.0866681087317038
43,2656805470019184015,0.22769439836852373,1206.1089108910892,171.58415841584159,26.65,0.12830879812011886
44,2460273989685439155,0.22304365153478434,1248.6633663366338,180.4851485148515,27.26,0.10450659324735545
45,3097008984651155011,0.3412265360456248,1635.1089108910892,201.26732673267327,33.04,0.1302681992337165
46,3609029175335244933,0.2674903828220647,1398.881188118812,183.8910891089109,27.28,0.004099573137230042
47,1570523379920324229,0.25086968661859355,1295.1089108910892,177.44554455445544,29.14,0.09759456674867006
48,4277998806192308454,0.28823382207965575,1558.990099009901,195.55445544554456,32.41,0.1161327136501216
49,1089235113046564516,0.29521280646612386,1380.7128712871288,182.40594059405942,33.15,0.1378783611957366
50,2964229955498532833,0.23684092321856362,1177.7326732673268,170.15841584158414,24.76,0.15753968253968254
51,2344703961664405112,0.28120996299606854,1332.881188118812,182.6138613861386,28.55,0.12754186602870812
52,1808615871809203851,0.26689403239729975,1482.6534653465346,192.32673267326732,30.43,0.02553957768793233
53,3745115023692432660,0.32589213834015585,1417.8910891089108,190.6138613861386,29.0,0.16655025365781925
54,2352508552099708840,0.32874375261648964,1357.6138613861385,184.1881188118812,31.84,0.07877893115211092
55,1774635392112415702,0.2895616893993496,1310.7722772277227,184.17821782178217,33.96,0.09554799874921828
56,499147128026371049,0.27075735044914506,1252.3960396039604,174.5148514851485,28.32,0.08726206487102128
57,258021410765819103,0.3333587404097217,1455.1782178217823,190.0,29.86,0.028830296243510134
58,1529725455243897124,0.2760099627052225,1476.148514851485,191.95049504950495,26.5,0.060436454093170514
59,1633725547130112938,0.20322221593211587,1312.6534653465346,179.4950495049505,27.22,0.09309698803862229
60,1633062355867225721,0.20831988518442024,1290.8613861386139,179.3960396039604,29.23,0.16750347775617933
61,1686036575607482857,0.31629125837704175,1407.5445544554455,189.86138613861385,22.85,-0.0734691228487674
62,669394875963419886,0.28344015638914327,1385.4059405940593,184.88118811881188,28.24,0.13873596911417743
63,3890709700333026071,0.30545316445944987,1400.2475247524753,185.64356435643563,27.48,0.1293275888598246
64,506917907822539921,0.20534966436822386,1316.3861386138615,171.83168316831683,28.54,0.05821817112613937
65,1859152843266959422,0.30417997868689856,1397.8316831683169,188.9009900990099,25.96,0.05227752289137967
66,1976501596705304752,0.319181414414932,1440.2475247524753,185.52475247524754,28.07,-0.027045769764216382
67,2227272240409321479,0.2082202327136194,1240.1287128712872,175.0891089108911,25.68,0.022694833000285478
68,670771009672333239,0.2747014927798418,1349.9108910891089,183.4950495049505,29.0,0.13981722744609343
69,4518745323329657640,0.2750773780095483,1321.7524752475247,185.73267326732673,32.28,0.07442492369537707
70,201801270498610606,0.23527688713096662,1371.5940594059407,184.53465346534654,32.19,0.11300228742277696
71,159298822449059362,0.2258091960060818,1211.1980198019803,181.0,28.51,0.05170940170940169
72,1178423559680819813,0.327190249574134,1399.0594059405942,187.46534653465346,32.84,0.09096548568947199
73,1618766409242196443,0.23510068770900272,1316.2772277227723,177.54455445544554,23.78,0.14646873230321172
74,3085606270663607668,0.3235622850168152,1412.4950495049504,187.990099009901,28.98,0.11121694307485433
75,1466141923272513332,0.23892378201016456,1553.2475247524753,202.98019801980197,33.67,0.038203140528721924
