eps,aligned_gap,aligned_lo,aligned_hi,misaligned_gap,misaligned_lo,misaligned_hi,dM_aligned,dM_lo,dM_hi,sign_flip
0.02,5.964,4.279583333333334,7.957316666666665,-5.565333333333333,-7.467783333333333,-3.57785,-0.00021875,-0.0010309041341145832,0.0006798095703124999,True
0.05,5.472,3.6462000000000003,7.384833333333332,-13.009333333333334,-15.053166666666666,-11.10635,-0.0009874674479166668,-0.0017367106119791666,-0.0001652913411458337,True
0.1,7.509333333333333,5.6010333333333335,9.2596,-25.624,-27.79843333333333,-23.679233333333332,-0.0008984375,-0.0018380411783854166,5.190022786458246e-05,True
0.2,6.969333333333333,4.96905,9.145,-51.52133333333333,-53.452416666666664,-49.599000000000004,-0.0007242838541666667,-0.0016506266276041666,7.849121093749981e-05,True
