name,dr2,ci_lo,ci_hi,r2_fine,r2_coarse
dW,0.37025815921491195,0.3427635906283563,0.39579848856789346,0.368699667394423,-0.002314668622583893
dW_norm,0.3523404998137996,0.3282893053391615,0.3802419451386834,0.34691633525375354,-0.010514264376881678
future_topshare,0.109818564294638,0.09055338255439939,0.12995719236681788,0.290280081424149,0.17789968719904015
future_changed_sites,0.05849431187878325,0.05094607358622809,0.06656824780987902,0.9427815210951318,0.8838918083612006
future_changed_frac,0.058952447605753196,0.04986688919102345,0.06742167007323865,0.9426509661701804,0.8840680541004003
